datetime,CODNEG,adj_close
2013-10-24,EZTC3,19.9726
2013-10-25,EZTC3,20.0846
2013-10-28,EZTC3,20.1094
2013-10-29,EZTC3,20.0659
2013-10-30,EZTC3,20.1903
2013-10-31,EZTC3,20.5015
2013-11-01,EZTC3,19.8668
2013-11-04,EZTC3,19.6055
2013-11-05,EZTC3,19.5681
2013-11-06,EZTC3,18.9273
2013-11-07,EZTC3,19.0704
2013-11-08,EZTC3,18.8029
2013-11-11,EZTC3,19.2259
2013-11-12,EZTC3,18.9148
2013-11-13,EZTC3,19.0953
2013-11-14,EZTC3,19.2259
2013-11-18,EZTC3,19.6988
2013-11-19,EZTC3,19.2198
2013-11-21,EZTC3,18.7282
2013-11-22,EZTC3,18.9460
2013-11-25,EZTC3,18.7717
2013-11-26,EZTC3,19.0393
2013-11-27,EZTC3,19.1824
2013-11-28,EZTC3,19.0393
2013-11-29,EZTC3,19.2571
2013-12-02,EZTC3,18.5166
2013-12-03,EZTC3,18.2553
2013-12-04,EZTC3,18.2242
2013-12-05,EZTC3,18.2740
2013-12-06,EZTC3,18.1620
2013-12-09,EZTC3,18.0375
2013-12-10,EZTC3,18.4856
2013-12-11,EZTC3,18.2864
2013-12-12,EZTC3,17.9566
2013-12-13,EZTC3,17.6206
2013-12-16,EZTC3,18.0002
2013-12-17,EZTC3,17.9317
2013-12-18,EZTC3,17.8136
2013-12-19,EZTC3,17.9131
2013-12-20,EZTC3,17.7451
2013-12-23,EZTC3,17.7202
2013-12-26,EZTC3,17.5211
2013-12-27,EZTC3,17.5771
2013-12-30,EZTC3,18.1309
2014-01-02,EZTC3,17.4029
2014-01-03,EZTC3,17.4526
2014-01-06,EZTC3,17.4154
2014-01-07,EZTC3,17.4900
2014-01-08,EZTC3,17.4216
2014-01-09,EZTC3,17.0482
2014-01-10,EZTC3,17.1105
2014-01-13,EZTC3,17.3220
2014-01-14,EZTC3,17.7327
2014-01-15,EZTC3,17.6020
2014-01-16,EZTC3,17.1789
2014-01-17,EZTC3,16.9798
2014-01-20,EZTC3,17.0172
2014-01-21,EZTC3,16.7993
2014-01-22,EZTC3,17.4838
2014-01-23,EZTC3,17.2785
2014-01-24,EZTC3,17.0047
2014-01-27,EZTC3,16.8616
2014-01-28,EZTC3,16.9860
2014-01-29,EZTC3,16.8616
2014-01-30,EZTC3,16.6003
2014-01-31,EZTC3,16.7932
2014-02-03,EZTC3,16.1896
2014-02-04,EZTC3,16.4136
2014-02-05,EZTC3,16.1834
2014-02-06,EZTC3,16.6127
2014-02-07,EZTC3,16.3638
2014-02-10,EZTC3,16.1149
2014-02-11,EZTC3,16.4820
2014-02-12,EZTC3,16.0216
2014-02-13,EZTC3,15.4928
2014-02-14,EZTC3,15.5550
2014-02-17,EZTC3,15.4616
2014-02-18,EZTC3,15.2003
2014-02-19,EZTC3,15.5799
2014-02-20,EZTC3,15.4492
2014-02-21,EZTC3,15.8661
2014-02-24,EZTC3,15.9594
2014-02-25,EZTC3,15.8536
2014-02-26,EZTC3,15.7167
2014-02-27,EZTC3,16.1896
2014-02-28,EZTC3,16.1212
2014-03-05,EZTC3,15.9594
2014-03-06,EZTC3,16.6749
2014-03-07,EZTC3,16.6003
2014-03-10,EZTC3,15.7727
2014-03-11,EZTC3,16.1647
2014-03-12,EZTC3,15.9905
2014-03-13,EZTC3,16.0527
2014-03-14,EZTC3,15.4990
2014-03-17,EZTC3,15.5052
2014-03-18,EZTC3,16.0652
2014-03-19,EZTC3,16.2331
2014-03-20,EZTC3,16.7932
2014-03-21,EZTC3,16.9985
2014-03-24,EZTC3,17.0296
2014-03-25,EZTC3,16.7371
2014-03-26,EZTC3,16.7185
2014-03-27,EZTC3,17.0918
2014-03-28,EZTC3,17.3158
2014-03-31,EZTC3,17.5149
2014-04-01,EZTC3,17.5709
2014-04-02,EZTC3,17.6082
2014-04-03,EZTC3,17.4216
2014-04-04,EZTC3,17.5398
2014-04-07,EZTC3,17.6206
2014-04-08,EZTC3,17.8509
2014-04-09,EZTC3,17.6144
2014-04-10,EZTC3,17.4465
2014-04-11,EZTC3,17.3407
2014-04-14,EZTC3,17.4216
2014-04-15,EZTC3,17.0607
2014-04-16,EZTC3,17.1167
2014-04-17,EZTC3,17.0980
2014-04-22,EZTC3,16.9860
2014-04-23,EZTC3,17.0731
2014-04-24,EZTC3,16.8927
2014-04-25,EZTC3,16.4882
